epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1132,1.6297,4.21897,1.72042,0.90526,0.06513,0.07322,0.05182,1.61911,3.24458,1.81965,8.45977e-05,8.45977e-05,8.45977e-05
2,32.5497,1.46208,3.04202,1.60518,0.81665,0.13257,0.13013,0.09039,1.5966,2.47942,1.81835,0.000168249,0.000168249,0.000168249
3,47.3463,1.40516,2.44068,1.56618,0.63745,0.18028,0.18319,0.11791,1.64198,2.31024,1.88183,0.00025021,0.00025021,0.00025021
4,61.8282,1.3494,2.19393,1.52664,0.55736,0.1832,0.19896,0.13725,1.57299,2.12103,1.80906,0.000248397,0.000248397,0.000248397
5,76.5722,1.31231,2.01173,1.50092,0.74549,0.215,0.25086,0.1802,1.60427,2.0219,1.83201,0.000245862,0.000245862,0.000245862
6,91.0562,1.26967,1.90274,1.46257,0.57568,0.18295,0.20166,0.12862,1.57511,1.97877,1.78889,0.000243328,0.000243328,0.000243328
7,105.768,1.24358,1.77616,1.44031,0.71393,0.26628,0.26418,0.17299,1.57028,1.9526,1.79844,0.000240794,0.000240794,0.000240794
8,120.618,1.21697,1.67955,1.42322,0.60308,0.24385,0.25715,0.17823,1.55901,1.99868,1.78137,0.000238259,0.000238259,0.000238259
9,135.177,1.18134,1.64332,1.39647,0.73461,0.24092,0.25727,0.17431,1.55433,1.92631,1.75325,0.000235725,0.000235725,0.000235725
10,149.923,1.17236,1.63022,1.39546,0.65601,0.26795,0.27387,0.19222,1.52483,1.84342,1.73211,0.00023319,0.00023319,0.00023319
11,164.412,1.15669,1.5518,1.36656,0.64073,0.22805,0.28159,0.19541,1.55916,1.82895,1.72755,0.000230656,0.000230656,0.000230656
12,179.042,1.11899,1.46582,1.34318,0.50654,0.23348,0.24308,0.15826,1.57397,1.87592,1.7582,0.000228122,0.000228122,0.000228122
13,193.889,1.15606,1.50702,1.36057,0.60737,0.25957,0.27353,0.19349,1.55986,1.8138,1.75154,0.000225587,0.000225587,0.000225587
14,208.357,1.12019,1.46414,1.34053,0.509,0.25043,0.2478,0.16382,1.55476,1.89133,1.77254,0.000223053,0.000223053,0.000223053
15,223.093,1.10598,1.41485,1.32369,0.56748,0.25495,0.28759,0.20563,1.53564,1.78257,1.73207,0.000220518,0.000220518,0.000220518
16,237.834,1.08155,1.37962,1.31828,0.42899,0.29897,0.2762,0.18597,1.52608,1.77248,1.7381,0.000217984,0.000217984,0.000217984
17,252.67,1.059,1.34424,1.29939,0.55136,0.31326,0.30466,0.20932,1.53589,1.76057,1.7551,0.00021545,0.00021545,0.00021545
18,267.499,1.07321,1.37186,1.30659,0.5396,0.29089,0.30004,0.21158,1.54875,1.80712,1.77997,0.000212915,0.000212915,0.000212915
19,282.029,1.05822,1.32347,1.28894,0.61787,0.276,0.29081,0.20089,1.51966,1.74237,1.75084,0.000210381,0.000210381,0.000210381
20,296.489,1.04718,1.27598,1.29044,0.48326,0.25993,0.26131,0.17775,1.50673,1.78343,1.72904,0.000207846,0.000207846,0.000207846
21,311.141,1.03728,1.27907,1.27875,0.49181,0.2672,0.26233,0.17739,1.50976,1.73746,1.73685,0.000205312,0.000205312,0.000205312
22,325.736,1.03076,1.25345,1.26433,0.44223,0.29758,0.26286,0.17096,1.52599,1.74497,1.72692,0.000202778,0.000202778,0.000202778
23,340.555,1.02639,1.24284,1.27512,0.49368,0.29834,0.31544,0.19855,1.49154,1.7106,1.72386,0.000200243,0.000200243,0.000200243
24,355.489,1.02549,1.24951,1.26781,0.45431,0.31854,0.30488,0.20471,1.52173,1.73568,1.76162,0.000197709,0.000197709,0.000197709
25,370.011,1.01391,1.21533,1.25993,0.47557,0.3166,0.28374,0.18184,1.51832,1.68744,1.73036,0.000195174,0.000195174,0.000195174
26,384.73,0.99714,1.19314,1.25303,0.47642,0.40209,0.29963,0.1996,1.48392,1.76842,1.72539,0.00019264,0.00019264,0.00019264
27,399.309,1.00179,1.1905,1.25271,0.46498,0.35365,0.34641,0.23964,1.48336,1.75297,1.71901,0.000190106,0.000190106,0.000190106
28,413.85,0.98997,1.17369,1.24979,0.55584,0.27261,0.32819,0.21959,1.51382,1.74149,1.75097,0.000187571,0.000187571,0.000187571
29,428.554,0.99264,1.16419,1.248,0.53157,0.27744,0.28218,0.17772,1.54203,1.74333,1.73681,0.000185037,0.000185037,0.000185037
30,443.036,0.98026,1.15254,1.23972,0.49873,0.31,0.29787,0.19146,1.51685,1.74618,1.73014,0.000182502,0.000182502,0.000182502
31,457.631,0.99377,1.15013,1.24277,0.45947,0.32586,0.28887,0.18775,1.49491,1.69209,1.70848,0.000179968,0.000179968,0.000179968
32,472.264,0.97415,1.1305,1.24005,0.50242,0.275,0.32102,0.217,1.52758,1.73201,1.73471,0.000177434,0.000177434,0.000177434
33,486.639,0.94695,1.09864,1.20977,0.46515,0.33318,0.34923,0.22965,1.51811,1.71842,1.75258,0.000174899,0.000174899,0.000174899
